file_name,name,height,weight,satba_time,play_time,rest_time,status,skill,move,game_num,round,predict
금강_16_1_1_0,김철겸,178,93,95,24,0,1,2,5477.614,1,16,1.0680315124792705
금강_16_1_1_0,임경택,182,90,95,24,0,0,2,5477.614,1,16,1.1400384431434851
금강_16_1_2_0,김철겸,178,93,154,29,60,1,4,13080.72,2,16,2.0884294666815353
금강_16_1_2_0,임경택,182,90,154,29,60,0,4,13080.72,2,16,2.16043639734575
금강_16_2_1_0,이민섭,188,94,121,20,0,1,4,5794.215,1,16,1.4166620048002128
금강_16_2_1_0,유영도,180,93,121,20,0,0,4,5794.215,1,16,1.3433819676509238
금강_16_2_2_0,이민섭,188,94,210,22,60,1,6,10464.132,2,16,2.309409623048488
금강_16_2_2_0,유영도,180,93,210,22,60,0,6,10464.132,2,16,2.236129585899199
금강_16_3_1_0,전도언,178,90,146,10,0,1,4,5471.641,1,16,1.4479485617414527
금강_16_3_1_0,최영원,180,90,146,10,0,0,4,5471.641,1,16,1.4687947790351727
금강_16_3_2_0,전도언,178,90,289,15,60,1,7,12120.559,2,16,2.79401801570668
금강_16_3_2_0,최영원,180,90,289,15,60,0,7,12120.559,2,16,2.8148642330003995
금강_16_4_1_0,정종진,180,92,112,7,0,1,4,3541.591,1,16,1.138890072294119
금강_16_4_1_0,오성호,177,94,112,7,0,0,4,3541.591,1,16,1.087411082302356
금강_16_4_2_0,정종진,180,92,218,38,60,1,9,7317.598,2,16,2.136444778040148
금강_16_4_2_0,오성호,177,94,218,38,60,0,9,7317.598,2,16,2.0849657880483843
금강_8_1_1_0,김기수,183,90,162,4,0,1,3,10139.98,1,8,2.068101171416271
금강_8_1_1_0,김동휘,182,90,162,4,0,0,3,10139.98,1,8,2.0576780627694102
금강_8_1_2_0,김기수,183,90,361,7,60,1,5,16944.582,2,8,3.6140317250055425
금강_8_1_2_0,김동휘,182,90,361,7,60,0,5,16944.582,2,8,3.6036086163586827
금강_8_2_1_0,김철겸,178,93,257,40,2540,-,8,19614.394,3,8,3.2799590369188953
금강_8_2_1_0,이민섭,188,94,313,33,2069,-,10,16997.806,3,8,3.5299824216417948
금강_8_2_1_1,김철겸,178,93,310,67,2600,-,11,25192.121,4,8,4.11075545612669
금강_8_2_1_1,이민섭,188,94,366,60,2129,-,13,22575.533,4,8,4.360778840849589
금강_8_2_1_2,김철겸,178,93,312,71,2660,0,14,27123.691,5,8,4.443442022438567
금강_8_2_1_2,이민섭,188,94,368,64,2189,1,16,24507.103,5,8,4.693465407161465
금강_8_2_2_0,김철겸,178,93,393,106,2720,0,18,33808.691,6,8,5.531278272642646
금강_8_2_2_0,이민섭,188,94,449,99,2249,1,20,31192.103,6,8,5.781301657365545
금강_8_3_1_0,전도언,178,90,400,16,2193,1,8,14277.171,3,8,3.506816641717645
금강_8_3_1_0,정종진,180,92,329,39,1714,0,10,9474.21,3,8,2.8787799356487733
금강_8_3_2_0,전도언,178,90,472,19,2253,1,10,19612.194,4,8,4.384763393243913
금강_8_3_2_0,정종진,180,92,399,42,1774,0,12,14809.233,4,8,3.748258839394306
금강_8_4_1_0,김태하,180,90,81,9,0,0,4,12900.99,1,8,1.9843284499294178
금강_8_4_1_0,최정만,181,90,81,9,0,1,4,12900.99,1,8,1.994751558576278
금강_8_4_2_0,김태하,180,90,118,14,60,1,6,15848.945,2,8,2.4989095279492832
금강_8_4_2_0,최정만,181,90,118,14,60,0,6,15848.945,2,8,2.5093326365961435
금강_8_4_3_0,김태하,180,90,181,26,120,0,12,20973.117,3,8,3.522433782191499
금강_8_4_3_0,최정만,181,90,181,26,120,1,12,20973.117,3,8,3.5328568908383593
금강_4_1_1_0,김기수,183,90,463,28,1721,1,8,23484.897,3,4,5.221696398456468
금강_4_1_1_0,이민섭,188,94,551,120,3262,0,23,37732.418,7,4,7.428923893395352
금강_4_1_2_0,김기수,183,90,523,30,1781,1,10,26821.164,4,4,5.873434611052162
금강_4_1_2_0,이민섭,188,94,611,122,3322,0,25,41068.685,8,4,8.080662105991046
금강_4_2_1_0,전도언,178,90,584,79,3373,-,14,24419.667,5,4,5.899523937211965
금강_4_2_1_0,최정만,181,90,293,86,761,-,16,25780.59,4,4,5.077153966404073
금강_4_2_1_1,전도언,178,90,627,109,3373,1,19,28571.331,6,4,6.66912709322066
금강_4_2_1_1,최정만,181,90,336,116,761,0,21,29932.254,5,4,5.846757122412767
금강_4_2_2_0,전도언,178,90,691,110,3433,1,21,32330.69,7,4,7.377091907685816
금강_4_2_2_0,최정만,181,90,400,117,821,0,23,33691.613,6,4,6.5547219368779235
금강_2_1_1_0,김기수,183,90,658,33,2860,1,11,33106.871,5,2,7.4284653837013614
금강_2_1_1_0,전도언,178,90,826,113,3860,0,22,38616.397,8,2,8.972326894534753
금강_2_1_2_0,김기수,183,90,729,46,2920,1,15,37137.699,6,2,8.277935720411648
금강_2_1_2_0,전도언,178,90,897,126,3920,0,26,42647.225,9,2,9.82179723124504
금강_2_1_3_0,김기수,183,90,839,106,2980,-,20,45798.919,7,2,9.673738400466661
금강_2_1_3_0,전도언,178,90,1067,186,3980,-,31,51308.445,10,2,11.471635344722126
금강_2_1_3_1,김기수,183,90,892,108,2980,1,21,50122.46,8,2,10.332450040049634
금강_2_1_3_1,전도언,178,90,1120,188,3980,0,32,55631.986,11,2,12.130346984305097
